iter	Logloss
232	0.6575828857
233	0.6575758667
234	0.6574009399
235	0.6573936157
236	0.6572964478
237	0.6572890015
238	0.6572436523
239	0.6571378174
240	0.6570952148
241	0.6570628662
242	0.6568707886
243	0.6567067871
244	0.6565581665
245	0.6564980469
246	0.6564543457
247	0.6562593994
248	0.6559688721
249	0.6558630371
250	0.6557363281
251	0.6557335205
252	0.6556109619
253	0.6555480957
254	0.6553650513
255	0.6552512207
256	0.6552325439
257	0.6552287598
258	0.6552091064
259	0.6551540527
260	0.6550214844
261	0.6549787598
262	0.6548930054
263	0.6548170776
264	0.6546015625
265	0.6544555054
266	0.6544029541
267	0.654357666
268	0.6542689819
269	0.6542559814
270	0.6542296143
271	0.6542282715
272	0.654098938
273	0.6539144287
274	0.653885376
275	0.6538685303
276	0.6536728516
277	0.653534668
278	0.6534934692
279	0.6534914551
280	0.6534812622
281	0.6534631348
282	0.6534058838
283	0.6533226929
284	0.6533092651
285	0.6530666504
286	0.6530430298
287	0.6530367432
288	0.653008606
289	0.6528845825
290	0.6528105469
291	0.6525927734
292	0.6525911255
293	0.6525878296
294	0.6525025635
295	0.6524823608
296	0.6524159546
297	0.6523637695
298	0.6523209229
299	0.6522623291
300	0.6520371704
301	0.652036438
302	0.65203479
303	0.6519285889
304	0.6518266602
305	0.6517252197
306	0.6516522217
307	0.6515141602
308	0.65146698
309	0.6513925781
310	0.6513912354
311	0.6513464966
312	0.6512526855
313	0.6511241455
314	0.6511143188
315	0.6510179443
316	0.6508504639
317	0.650729248
318	0.6507052612
319	0.6505919189
320	0.6505720215
321	0.6504589844
322	0.6504572754
323	0.6504485474
324	0.6503496094
325	0.6503486328
326	0.6503464966
327	0.6502182617
328	0.6500587158
329	0.6500579834
330	0.6499135742
331	0.6498552246
332	0.6498275146
333	0.6497302246
334	0.6495844727
335	0.6495039062
336	0.6494105225
337	0.6493978271
338	0.6493127441
339	0.6493121338
340	0.6491726074
341	0.6490927734
342	0.6490652466
343	0.6489967041
344	0.6489229126
345	0.6488319702
346	0.6488236694
347	0.6486955566
348	0.6486883545
349	0.6485333862
350	0.6483830566
351	0.6483825684
352	0.648326416
353	0.6481405029
354	0.6481384888
355	0.6480789185
356	0.6479811401
357	0.6479035645
358	0.6477733765
359	0.6475684814
360	0.6474729614
361	0.6474709473
362	0.6474237061
363	0.6474230347
364	0.647342041
365	0.6472249756
366	0.6470981445
367	0.6470581055
368	0.6469137573
369	0.6468447266
370	0.6467113037
371	0.6465700073
372	0.6465239258
373	0.6463828125
374	0.6463746948
375	0.6463743896
376	0.6462478027
377	0.6462277832
378	0.6461253052
379	0.6460800781
380	0.646005127
381	0.6460045776
382	0.6459219971
383	0.6458850098
384	0.6456842651
385	0.6454846802
386	0.6454567871
387	0.6453019409
388	0.6452833862
389	0.6452819824
390	0.6452816162
391	0.6452392578
392	0.6451141357
393	0.6450515137
394	0.6450205078
395	0.6448085937
396	0.6447183838
397	0.644604248
398	0.6445518799
399	0.644548584
400	0.6445290527
401	0.6444700928
402	0.6442467041
403	0.6441585693
404	0.6441347656
405	0.644031189
406	0.6439963379
407	0.6439831543
408	0.6439827271
409	0.6438874512
410	0.6438598633
411	0.643645752
412	0.6434956665
413	0.6433530273
414	0.6433529053
415	0.643289917
416	0.6432822876
417	0.6432081299
418	0.6431169434
419	0.6431112061
420	0.6430084229
421	0.6429810791
422	0.6429552002
423	0.6429362793
424	0.6429313965
425	0.6428287354
426	0.6427189941
427	0.6426589355
428	0.6425472412
429	0.6425394287
430	0.6425194702
431	0.6423891602
432	0.6423062744
433	0.6421053467
434	0.6419707031
435	0.6418718872
436	0.64184375
437	0.6417823486
438	0.6416829834
439	0.6415734253
440	0.6415546265
441	0.6415543213
442	0.6413596191
443	0.6411573486
444	0.6411315308
445	0.6409152832
446	0.6409093018
447	0.6408686523
448	0.6408635254
449	0.6407750244
450	0.6406712036
451	0.6405321045
452	0.6405131836
453	0.6404961548
454	0.6404956055
455	0.640484436
456	0.6404334106
457	0.6404335327
458	0.6404242554
459	0.6404239502
460	0.640276062
461	0.640229248
462	0.6400213623
463	0.6399787598
464	0.6398602295
465	0.6397920532
466	0.6397495117
467	0.6396002197
468	0.6395831299
469	0.6395740356
470	0.6394672852
471	0.6394388428
472	0.6393903809
473	0.6393544922
474	0.6391612549
475	0.6390158081
476	0.6388983765
477	0.6387585449
478	0.6387227783
479	0.6387106323
480	0.638579834
481	0.6384039307
482	0.6383372803
483	0.638262146
484	0.6381449585
485	0.6379468384
486	0.6378516846
487	0.6378236084
488	0.6375606689
489	0.6373907471
490	0.6373284912
491	0.6372647095
492	0.6372617798
493	0.6371008301
494	0.637100647
495	0.637067688
496	0.6370617676
497	0.6369221191
498	0.636822876
499	0.6368106689
500	0.6366618652
501	0.6365291138
502	0.6365288696
503	0.6364771729
504	0.6364238281
505	0.6362020264
506	0.6361871948
507	0.6361436768
508	0.6361325073
509	0.6360999756
510	0.6360948486
511	0.6359780884
512	0.6358861084
513	0.6358809814
514	0.6358220215
515	0.6357287598
516	0.6356188354
517	0.6355971069
518	0.6354829712
519	0.6354108887
520	0.6353323364
521	0.6352221069
522	0.6351151123
523	0.6350756836
524	0.6349109497
525	0.6349093018
526	0.6347493896
527	0.634611084
528	0.6345411987
529	0.634461853
530	0.6343345947
531	0.6341506348
532	0.6341141968
533	0.6340924683
534	0.633942749
535	0.6339388428
536	0.6339387207
537	0.6337362061
538	0.6335926514
539	0.6334801025
540	0.6334431763
541	0.633333374
542	0.6333192139
543	0.6332576294
544	0.6331567993
545	0.6330253296
546	0.632862915
547	0.6327874756
548	0.6327241821
549	0.6327130127
550	0.6327132568
551	0.6325825195
552	0.6323018188
553	0.6321948242
554	0.6320845337
555	0.6320721436
556	0.6320601196
557	0.6320574951
558	0.6320523682
559	0.6319354248
560	0.6319318848
561	0.6319227295
562	0.6318839722
563	0.6317445679
564	0.6317421265
565	0.6315854492
566	0.6315742187
567	0.6315064697
568	0.6315019531
569	0.6314368896
570	0.6313830566
571	0.6312154541
572	0.6311672363
573	0.6311671753
574	0.6310600586
575	0.6310596924
576	0.6309945068
577	0.6309863892
578	0.6309816895
579	0.6309214478
580	0.6308153076
581	0.6307860718
582	0.6307079468
583	0.6307071533
584	0.6306346436
585	0.6305808716
586	0.6305760498
587	0.6304682007
588	0.6303702393
589	0.6301768799
590	0.6301768799
591	0.6301114502
592	0.6300980225
593	0.6300669556
594	0.6300164795
595	0.6299816895
596	0.6298780518
597	0.6298482666
598	0.6297575684
599	0.6297316284
600	0.6297313843
601	0.6297011108
602	0.6296936035
603	0.6296936035
604	0.6295950928
605	0.6295266113
606	0.6294807129
607	0.6293409424
608	0.6293381348
609	0.629296875
610	0.6292005615
611	0.6290582275
612	0.6290579834
613	0.6289958496
614	0.6289234619
615	0.6288682861
616	0.6287612305
617	0.6286578979
618	0.6286258545
619	0.6284685669
620	0.628468811
621	0.6284274902
622	0.6284049683
623	0.628329834
624	0.6283165283
625	0.62828125
626	0.6281604004
627	0.62809375
628	0.6280380859
629	0.6278738403
630	0.6278739014
631	0.6277531738
632	0.6276298828
633	0.6275284424
634	0.6275205688
635	0.6274519043
636	0.6273709106
637	0.627347168
638	0.62734729
639	0.627274292
640	0.6272163086
641	0.6271876831
642	0.6270859375
643	0.6270450439
644	0.6269989014
645	0.6269971924
646	0.626949585
647	0.6268083496
648	0.6267371826
649	0.6266202393
650	0.6264364014
651	0.6264031982
652	0.6263336182
653	0.626243103
654	0.6260683594
655	0.6259076538
656	0.6258292236
657	0.6256706543
658	0.6256706543
659	0.6254940796
660	0.6254886475
661	0.6254415894
662	0.6253193359
663	0.6252419434
664	0.6252338867
665	0.6251386108
666	0.6251340332
667	0.6251342163
668	0.6250193481
669	0.6249260864
670	0.624782959
671	0.6247128906
672	0.6247130127
673	0.6245625
674	0.6244295044
675	0.6244289551
676	0.624425293
677	0.6244054565
678	0.6244019775
679	0.6244007568
680	0.6243045044
681	0.6242615967
682	0.6241778564
683	0.6241134644
684	0.6238832397
685	0.6237991943
686	0.6237426147
687	0.6236564331
688	0.6236525269
689	0.6236452637
690	0.6236196289
691	0.6233903809
692	0.623277832
693	0.6231074219
694	0.6230878296
695	0.6230047607
696	0.6229605713
697	0.6229216309
698	0.6228763428
699	0.6228607178
700	0.622857666
701	0.6228317261
702	0.6227236938
703	0.6227194824
704	0.622645874
705	0.6225621338
706	0.6225317993
707	0.6225079346
708	0.6224428101
709	0.622442749
710	0.6224313965
711	0.622430542
712	0.6222805786
713	0.6222662354
714	0.622223938
715	0.6221099243
716	0.6221022949
717	0.6220609131
718	0.6219223022
719	0.6219221191
720	0.6218238525
721	0.6217544556
722	0.621743042
723	0.6216802368
724	0.6216665039
725	0.6215115967
726	0.6214117432
727	0.6213560791
728	0.6213043823
729	0.6212211914
730	0.6211182861
731	0.6209341431
732	0.6208944092
733	0.6208143311
734	0.6207260742
735	0.6206143799
736	0.6204763184
737	0.6203604736
738	0.6202576294
739	0.6202581787
740	0.6202454834
741	0.6202062378
742	0.6201710205
743	0.6201341553
744	0.6200767822
745	0.6199887695
746	0.6198618774
747	0.6198619385
748	0.6197985229
749	0.6197049561
750	0.6196564331
751	0.6196530151
752	0.6195979004
753	0.6193724976
754	0.6193493652
755	0.6191965332
756	0.6191461182
757	0.6190975952
758	0.6190338135
759	0.6189590454
760	0.6189169922
761	0.6188117065
762	0.6187011719
763	0.6186191406
764	0.618555603
765	0.6185028076
766	0.618482605
767	0.6184781494
768	0.6184586182
769	0.6183945312
770	0.6183455811
771	0.6182839355
772	0.6182407837
773	0.6181077881
774	0.6179885254
775	0.6179863281
776	0.6179730225
777	0.6178942261
778	0.6178413086
779	0.6177424316
780	0.6176119995
781	0.6174642334
782	0.617404541
783	0.6174040527
784	0.6173303223
785	0.6172632446
786	0.617236084
787	0.6171455078
788	0.6170492554
789	0.6170214844
790	0.6169274292
791	0.6169255981
792	0.6166965332
793	0.6166873779
794	0.616607666
795	0.6165126953
796	0.616402832
797	0.6162688599
798	0.6162674561
799	0.6161882324
800	0.6161404419
801	0.6160858154
802	0.6160198364
803	0.6160199585
804	0.6159664307
805	0.6157799072
806	0.6157797241
807	0.6156091309
808	0.6155042725
809	0.6153936768
810	0.6153070068
811	0.6152384033
812	0.6152193604
813	0.6150130615
814	0.6150092163
815	0.6149746094
816	0.6148919067
817	0.6148056641
818	0.6148051758
819	0.614760437
820	0.614703064
821	0.6145941772
822	0.6145266113
823	0.6143896484
824	0.614265625
825	0.6141879883
826	0.6141472168
827	0.6140375366
828	0.6140108643
829	0.6139057617
830	0.6138348389
831	0.6137451172
832	0.6136566772
833	0.6135821533
834	0.6133948975
835	0.6133095093
836	0.6133059692
837	0.6133059692
838	0.6131230469
839	0.6130906372
840	0.6130263062
841	0.612987793
842	0.6129111938
843	0.6128295288
844	0.6128294678
845	0.6128049316
846	0.6127827148
847	0.612711792
848	0.6126289673
849	0.6125374756
850	0.612425293
851	0.6123052979
852	0.6122520752
853	0.6122470093
854	0.6122139282
855	0.6121953125
856	0.6121577759
857	0.6120687256
858	0.6120108643
859	0.6120107422
860	0.6120106201
861	0.6119655151
862	0.6119160767
863	0.6117966919
864	0.6117129517
865	0.6115018921
866	0.6114312744
867	0.6113289185
868	0.6112167969
869	0.611197998
870	0.6110285645
871	0.610901001
872	0.6108861084
873	0.6108120728
874	0.6105993042
875	0.6105336914
876	0.6105062866
877	0.6104140625
878	0.6103516846
879	0.6102905273
880	0.6102868652
881	0.6101377563
882	0.6101075439
883	0.6100829468
884	0.6099983521
885	0.6098547974
886	0.6097984619
887	0.6096478882
888	0.6096226807
889	0.6096171875
890	0.6095067749
891	0.6095010986
892	0.6093880615
893	0.6093832397
894	0.6092596436
895	0.6091791382
896	0.6091774292
897	0.6090515747
898	0.6089185181
899	0.6088476563
900	0.6087387085
901	0.6086464233
902	0.6085672607
903	0.6084273071
904	0.6083225708
905	0.6082502441
906	0.6081124268
907	0.6080612793
908	0.6079786377
909	0.6078178711
910	0.6075935059
911	0.6074956665
912	0.6074874878
913	0.607442627
914	0.6073855591
915	0.6072453613
916	0.6071917114
917	0.6071773682
918	0.6069412842
919	0.6068278809
920	0.6067753296
921	0.6066571655
922	0.6065349121
923	0.6064459839
924	0.6063587646
925	0.6062924805
926	0.606241333
927	0.6061237793
928	0.6060158691
929	0.6059281006
930	0.6058479004
931	0.6057475586
932	0.6055812988
933	0.6054532471
934	0.6053950195
935	0.6053238525
936	0.6051610107
937	0.6050839233
938	0.6049873047
939	0.6048162842
940	0.6047368774
941	0.6045995483
942	0.6045418701
943	0.6043605347
944	0.6043137817
945	0.6042496338
946	0.6041278687
947	0.6039261475
948	0.6038300781
949	0.6037266235
950	0.6035717773
951	0.603463623
952	0.6033729248
953	0.6033515625
954	0.6032670898
955	0.6031738281
956	0.6031339111
957	0.6030343018
958	0.6029464111
959	0.6028117676
960	0.6027102051
961	0.6025117187
962	0.6023998413
963	0.6023807373
964	0.6022253418
965	0.6021536865
966	0.6020157471
967	0.6019153442
968	0.601897644
969	0.6018591919
970	0.6017329712
971	0.6016624146
972	0.6016000977
973	0.6014996338
974	0.601347229
975	0.6012696533
976	0.6011697388
977	0.6010682373
978	0.6009747925
979	0.6008200684
980	0.6006573486
981	0.6006015015
982	0.6004620361
983	0.6003908081
984	0.6002154541
985	0.6000731201
986	0.599996582
987	0.5999099121
988	0.5998167725
989	0.5997858276
990	0.599701416
991	0.5996659546
992	0.5995206299
993	0.5993901367
994	0.5992663574
995	0.5991618042
996	0.599041626
997	0.59893927
998	0.598802002
999	0.5987398682
